"rule_code","name","category","description_th"
"RUL-DRG-007","ราคาที่เบิกต้องไม่เกินราคาใน Drug Catalogue","ราคาและค่าใช้จ่าย","ตรวจราคาต่อหน่วยของทุกรายการในแฟ้ม 7 เทียบกับ Drug Catalogue ที่มีผล ณ วันที่รับบริการ"
"RUL-ELG-004","Approve Code (OFC) / เลขปิดสิทธิ (UCS) ต้องตรงฐานข้อมูล","สิทธิและการปิดสิทธิ","เทียบเลขอนุมัติ/เลขปิดสิทธิที่บันทึกใน HIS กับฐานข้อมูลหน่วยบริการก่อนส่งเบิก"
"RUL-CDX-009","รหัสหัตถการต้องสอดคล้องกับการวินิจฉัยหลัก","Coding","ตรวจความสัมพันธ์ระหว่างแฟ้ม 5 (Diagnosis) กับแฟ้ม 6 (Procedure) ตามตารางคู่ที่ สปสช. ประกาศ"
"RUL-EMR-003","เคสอุบัติเหตุฉุกเฉินต้องมีแฟ้ม 9 (AER) ครบ","ความครบของข้อมูล","บังคับให้มีเวลารับแจ้ง พิกัดจุดเกิดเหตุ และประเภทการนำส่ง ก่อนอนุญาตให้ส่งเบิกกองทุนฉุกเฉิน"
"RUL-DOC-002","เอกสารประกอบต้องครบตามประเภทเคส","เอกสาร","ตรวจรายการเอกสารที่ต้องมีตามประเภทเคสและรายการที่ขอเบิก"
"RUL-CLN-011","ยากลุ่มพิเศษต้องมีความเห็นแพทย์ผู้เชี่ยวชาญ","Clinical","บังคับให้ Medical Reviewer รับรองก่อนส่งเบิกเมื่อมีการใช้ยากลุ่มพิเศษที่มูลค่าสูง"
"RUL-DRG-015","จำนวนยาต่อครั้งต้องไม่เกินเกณฑ์แนะนำ","ราคาและค่าใช้จ่าย","แจ้งเตือนเมื่อจำนวนยาต่อครั้งเกินเกณฑ์ที่ประกาศ โดยไม่ปิดกั้นการส่งเบิก"
"RUL-IPD-006","จำนวนวันนอนต้องสอดคล้องกับวันจำหน่ายและวันลากลับบ้าน","ความครบของข้อมูล","ตรวจความสอดคล้องของแฟ้ม 14 (IPD) กับแฟ้ม 15 (LVD) ก่อนรองรับ IPD ในเฟส Go-Live 16 ก.ย. 2569"
"RUL-ELG-008","วันที่รับบริการต้องอยู่ในช่วงสิทธิที่ตรวจสอบได้","สิทธิและการปิดสิทธิ","ร่างที่สร้างจากผลตีกลับซ้ำ — ตรวจว่าวันที่รับบริการอยู่ในช่วงสิทธิที่ยืนยันได้"
"RUL-DRG-004","ราคาที่เบิกต้องไม่เกิน Drug Catalogue (ฉบับก่อน)","ราคาและค่าใช้จ่าย","กฎรุ่นแรก — ครอบคลุมเฉพาะกองทุน UC และเป็นแค่คำเตือน จึงมีเคสหลุดไปถูกตีกลับ"
"RUL-REF-001","การให้บริการต้องอยู่ในขอบเขต วงเงิน และอายุของใบส่งตัว","การส่งต่อและตามจ่าย","ตรวจ 3 อย่างพร้อมกันก่อนอนุมัติตามจ่าย — วันที่ให้บริการยังอยู่ในอายุใบส่งตัว · หัตถการที่ทำจริงอยู่ในขอบเขตที่อนุมัติ · ยอดเรียกเก็บไม่เกินวงเงินและจำนวนครั้ง"
"RUL-REF-002","ใบส่งตัวต้องมีเลขอนุมัติและมีใบตอบกลับครบ","การส่งต่อและตามจ่าย","ใบส่งตัวต้องมี Approve Code (OFC) หรือเลขปิดสิทธิ (UCS) ที่ตรงฐานข้อมูล ยกเว้นกรณีฉุกเฉินที่ขอเลขย้อนหลังภายใน 24 ชม. · และต้องมีใบตอบกลับภายใน 15 วันหลังให้บริการ"
"RUL-REF-003","ห้ามเรียกเก็บซ้ำซ้อนและต้องยื่นภายในกำหนด","การส่งต่อและตามจ่าย","รายการส่งต่อหนึ่งรายการเรียกเก็บได้ทางเดียวเท่านั้น — เรียกเก็บต้นทาง หรือ ส่งเบิก สปสช. และต้องยื่นภายในกำหนดของระเบียบ · เตือนรายการที่ให้บริการเสร็จแล้วแต่ยังไม่มีใบเรียกเก็บ"
"RUL-FIL-001","ต้องส่งแฟ้มครบตามกองทุนที่เบิก","ชุดข้อมูลมาตรฐาน","ประกาศกำหนดว่าแต่ละกองทุนต้องส่งแฟ้มใดบ้าง (12 กองทุน × 15 แฟ้ม) แฟ้ม 1–8 และ 14 บังคับเมื่อกองทุนครอบคลุม · แฟ้มกลุ่มเฉพาะ 9–13, 15 บังคับเมื่อเข้าเงื่อนไขของเคส เช่น อุบัติเหตุฉุกเฉิน ตั้งครรภ์ ผู้พิการ ลากลับบ้าน"
"RUL-FIL-002","ฟิลด์บังคับ (ต้องระบุ) ต้องครบทุกแฟ้มที่ส่ง","ชุดข้อมูลมาตรฐาน","ชุดข้อมูลมาตรฐานมี 160 Data Points แบ่งเป็นบังคับ 72 · มีเงื่อนไข 16 · อื่น ๆ 72 ฟิลด์บังคับต้องมีค่าครบทุกแฟ้มที่ส่ง มิฉะนั้นจะไม่ผ่านการตรวจสอบเบื้องต้น"
"RUL-SET-001","กลุ่มบริการชุดที่ 2 ยังส่งผ่าน Platform ใหม่ไม่ได้","ขอบเขตการใช้งาน","บำบัดทดแทนไต (CKD) · ผู้ติดเชื้อ HIV/เอดส์ · วัณโรค (TB) ยังไม่ได้ประกาศชุดข้อมูลมาตรฐาน — ต้องคงช่องทางเดิมไว้ อย่าเพิ่งย้ายมาส่งผ่าน NHSO Digital Platform"
"RUL-VIS-001","ต้องปิดสิทธิและปิด Visit เป็น Complete ก่อนส่งเบิก","สิทธิและการปิดสิทธิ","เส้นทางการทำงานกำหนดให้ปิดสิทธิ (เป๋าตัง / ระบบ สปสช.) และปิด Visit ให้ได้สถานะ Complete ก่อน จึงจะเชื่อม API ส่งเบิกได้ · สถานะ Waiting และ Incomplete ยังส่งไม่ได้"
"RUL-IPD-016","ต้องส่งแฟ้ม 15 (LVD) เมื่อผู้ป่วยในมีการลากลับบ้าน","ความครบของข้อมูล","แฟ้ม 15 (NHSO LVD) เป็นแฟ้มมีเงื่อนไข — ส่งเฉพาะกรณีผู้ป่วยในลากลับบ้าน ถ้ามีวันลาแต่ไม่ส่งแฟ้ม 15 จำนวนวันนอนที่เบิกจะไม่ตรงกับแฟ้ม 14 และถูกตีกลับด้วย C112"
"RUL-IPD-017","ต้องระบุการวินิจฉัยหลักและจัดกลุ่ม DRG ได้ก่อนส่งเบิก","Coding","ผู้ป่วยในจ่ายตามกลุ่มวินิจฉัยโรคร่วม — ถ้าไม่มีการวินิจฉัยหลัก (PDx) หรือรหัสที่บันทึกจัดกลุ่ม DRG ไม่ได้ จะคำนวณค่าชดเชยไม่ได้เลย ต้องระงับส่ง"
"RUL-IPD-018","วันนอนเกินจุดตัดบนของกลุ่ม DRG ต้องมีเหตุผลทางการแพทย์","ความครบของข้อมูล","เคสที่นอนนานกว่าจุดตัดบน (high outlier) ได้ค่าชดเชยเพิ่มก็จริง แต่ต้องมีบันทึกเหตุผลทางการแพทย์ประกอบ ไม่งั้นเสี่ยงถูกเรียกคืนตอน Audit"
"RUL-IPD-019","ใบสรุปการจำหน่ายต้องมีและลงนามแพทย์ผู้รักษา","เอกสารประกอบ","ทุกกองทุนบังคับใบสรุปการจำหน่ายที่ลงนามแพทย์ผู้รักษา — เป็นเอกสารที่ผู้ตรวจสอบของทุกกองทุนขอเป็นอันดับแรก และเป็นฐานของการให้รหัสโรค"
"RUL-IPD-020","ประกันสังคม — ต้องมีหลักฐานสิทธิตามบัตรรับรองสิทธิหรือเกณฑ์ฉุกเฉิน","สิทธิและการปิดสิทธิ","ผู้ประกันตนต้องเข้ารักษาที่สถานพยาบาลตามบัตรรับรองสิทธิ กรณีฉุกเฉินนอกสถานพยาบาลตามสิทธิเบิกได้เฉพาะ 72 ชั่วโมงแรก จึงต้องมีหลักฐานการตรวจสอบสิทธิ ณ วันรับไว้เก็บไว้ในแฟ้มทุกราย"
"RUL-IPD-021","กรมบัญชีกลาง — ต้องมีเลขอนุมัติเบิกจ่ายตรงก่อนส่งเบิกผู้ป่วยใน","สิทธิและการปิดสิทธิ","สิทธิเบิกจ่ายตรงต้องมีเลขอนุมัติ (Approve Code) ที่ตรงกับฐานข้อมูลหน่วยบริการ ถ้าไม่ตรงหรือไม่มี จะได้ C305 กลับมาแล้ววนแก้ — ตรวจตั้งแต่ก่อนส่งจึงตัดวงจรนี้ได้"
"RUL-IPD-022","ประกันเอกชน — ต้องมีใบเรียกร้องค่าสินไหม กรมธรรม์ และหนังสือยินยอม","เอกสารประกอบ","การเรียกเก็บบริษัทประกันไม่ผ่านชุดข้อมูลมาตรฐาน สปสช. แต่ใช้ชุดเอกสารของบริษัท ขาดเอกสารข้อใดข้อหนึ่ง บริษัทจะตีกลับทั้งรายการและนับอายุความใหม่"
"RUL-IPD-023","รหัสที่บันทึกต้องจัดกลุ่ม DRG ได้ตรงกับที่ระบุในเวชระเบียน","Coding","จัดกลุ่มซ้ำจากรหัสที่บันทึกจริงแล้วเทียบกับกลุ่มที่ระบุไว้ในแฟ้ม ถ้าไม่ตรงแปลว่าให้รหัสผิดหรือระบุกลุ่มผิด ซึ่งกระทบค่าชดเชยโดยตรง"
"RUL-IPD-024","เตือนเมื่อการวินิจฉัยร่วมที่เพิ่มทำให้ RW ขยับขึ้นผิดปกติ","Coding","คัดกรองการให้รหัสเกินจริง (upcoding) — เทียบ RW ของกลุ่มที่ได้กับกลุ่มที่ได้เมื่อตัด SDx ที่ไม่มีหลักฐานสนับสนุนออก ส่วนต่างที่สูงผิดปกติต้องมีผู้ทบทวนรับรอง"
"RUL-IPD-025","เตือนเมื่อการวินิจฉัยหลักที่เลือกให้ RW ต่ำกว่าที่รหัสในแฟ้มรองรับ","Coding","อีกด้านของ RUL-IPD-024 — จับการให้รหัสต่ำกว่าที่ควร (downcoding) ซึ่งทำให้โรงพยาบาลเสียรายได้ที่ควรได้ ไม่ใช่เรื่องทุจริตแต่เป็นเรื่องคุณภาพการให้รหัส"
"RUL-IPD-026","วันนอนต้องอยู่ในจุดตัดจริงของกลุ่ม DRG ตามคู่มือ","ความครบของข้อมูล","ฉบับที่ใช้จุดตัดจริงจากคู่มือ — จะมาแทน RUL-IPD-018 ที่ตอนนี้ใช้จุดตัดจำลอง จุดตัดที่ผิดทำให้จับ outlier ผิดตัวทั้งสองทาง"
"RUL-IPD-027","ค่าห้องและค่าอาหารต้องไม่เกินเพดานของกองทุน","ราคาและค่าใช้จ่าย","ส่วนที่เกินเพดานต้องให้ผู้ป่วยรับผิดชอบและต้องมีหนังสือยินยอม ถ้าส่งเบิกทั้งจำนวนจะถูกตัดตอนตรวจสอบและกลายเป็นลูกหนี้ค้าง"
"RUL-IPD-028","ต้องยื่นภายในกำหนดจริงของแต่ละกองทุน","ขอบเขตการใช้งาน","ตอนนี้ระบบใช้ 30 วันเท่ากันทุกกองทุนเพราะยังไม่มีประกาศฉบับจริง ซึ่งไม่ตรงความจริง — แต่ละกองทุนกำหนดคนละกรอบเวลาและนับตั้งต้นคนละจุด เลยกำหนดแล้วเรียกเก็บไม่ได้เลย ไม่ใช่แค่ช้า"
"RUL-IPD-029","UCEP — เกิน 72 ชั่วโมงต้องย้ายไปใช้สิทธิหลักของผู้ป่วย","สิทธิและการปิดสิทธิ","สิทธิ UCEP ครอบคลุมเฉพาะช่วงวิกฤต 72 ชั่วโมงแรก ส่วนที่เกินต้องเบิกจากสิทธิหลัก และต้องมีหลักฐานการประสานย้ายผู้ป่วย"
